URL,IMDB_ID,BETASERIES_ID,THEMOVIEDB_ID,IS_ACTIVE
/series/ficheserie_gen_cserie=448.html,tt0460686,threshold,1441,FALSE
/series/ficheserie_gen_cserie=450.html,tt0460690,theunit,2321,FALSE
/series/ficheserie_gen_cserie=451.html,tt0455275,prisonbreak,2288,FALSE
/series/ficheserie_gen_cserie=452.html,tt0460627,bones,1911,TRUE
/series/ficheserie_gen_cserie=454.html,tt0460654,kitchenconfidential,15123,FALSE
/series/ficheserie_gen_cserie=455.html,tt0460672,reunion,2366,FALSE
/series/ficheserie_gen_cserie=458.html,tt0460637,everybodyhateschris,252,TRUE
/series/ficheserie_gen_cserie=462.html,tt0086662,airwolf,2119,FALSE
/series/ficheserie_gen_cserie=463.html,tt0101205,notrebellefamille,2617,TRUE
/series/ficheserie_gen_cserie=464.html,tt0420388,dolmen,43385,FALSE
/series/ficheserie_gen_cserie=465.html,tt0172057,souslesoleilsainttropez,6833,FALSE
/series/ficheserie_gen_cserie=466.html,tt0081873,hillstreetblues,3828,FALSE
/series/ficheserie_gen_cserie=467.html,tt0115270,millennium,4330,FALSE
/series/ficheserie_gen_cserie=471.html,tt0111964,thenewadventuresofflipper,6223,FALSE
/series/ficheserie_gen_cserie=473.html,tt0320882,matrioshkirussiandollssextrade,20790,TRUE
/series/ficheserie_gen_cserie=474.html,tt0458253,thecloser,1450,FALSE
/series/ficheserie_gen_cserie=477.html,tt0115082,3rdrockfromthesun,155,FALSE
/series/ficheserie_gen_cserie=479.html,tt0062568,hawaii-five-o,2303,FALSE
/series/ficheserie_gen_cserie=480.html,tt0224902,largowinch,4111,FALSE
/series/ficheserie_gen_cserie=482.html,tt0060009,missionimpossible,4357,FALSE
/series/ficheserie_gen_cserie=486.html,tt0166927,pj,72085,FALSE
/series/ficheserie_gen_cserie=488.html,tt0439879,wildfire,2464,FALSE
/series/ficheserie_gen_cserie=491.html,tt0083483,st-elsewhere,30,FALSE
/series/ficheserie_gen_cserie=492.html,tt0302103,footballers-wives,772,FALSE
/series/ficheserie_gen_cserie=493.html,tt0401995,theworstweekofmylifeuk,4637,TRUE
/series/ficheserie_gen_cserie=496.html,tt0411009,laeaparker,36295,FALSE
/series/ficheserie_gen_cserie=499.html,tt0061265,the-invaders,13881,FALSE
/series/ficheserie_gen_cserie=501.html,tt0094525,agatha-christies-poirot,790,FALSE
/series/ficheserie_gen_cserie=502.html,tt0096694,savedbythebell,4345,FALSE
/series/ficheserie_gen_cserie=508.html,tt0318390,keen-eddie,1721,FALSE
/series/ficheserie_gen_cserie=510.html,tt0389635,etat-dalerte,10784,FALSE
/series/ficheserie_gen_cserie=511.html,tt0289016,wantedus,10388,FALSE
/series/ficheserie_gen_cserie=512.html,tt0185102,queerasfolkuk,2388,FALSE
/series/ficheserie_gen_cserie=513.html,tt0439100,weeds,186,TRUE
/series/ficheserie_gen_cserie=514.html,tt0446241,overthere,4564,FALSE
/series/ficheserie_gen_cserie=515.html,tt0445114,extras,2693,FALSE
/series/ficheserie_gen_cserie=516.html,tt0461071,beach-girls,1160,FALSE
/series/ficheserie_gen_cserie=517.html,tt0472954,itsalwayssunnyinphiladelphia,2710,FALSE
/series/ficheserie_gen_cserie=519.html,tt0364801,la-cite-des-hommes,3317,FALSE
/series/ficheserie_gen_cserie=521.html,tt0118406,murder-call,1391,FALSE
/series/ficheserie_gen_cserie=522.html,tt0337792,wireintheblood,6322,FALSE
/series/ficheserie_gen_cserie=524.html,tt0386139,zodiaque,76963,FALSE
/series/ficheserie_gen_cserie=529.html,tt0281498,titeuf,66610,FALSE
/series/ficheserie_gen_cserie=532.html,tt0212395,nowandagain,165,FALSE
/series/ficheserie_gen_cserie=533.html,tt0108909,robocop,5191,TRUE
/series/ficheserie_gen_cserie=534.html,tt0108876,new-york-undercover,4040,FALSE
/series/ficheserie_gen_cserie=535.html,tt0384766,rome,1891,FALSE
/series/ficheserie_gen_cserie=536.html,tt0098936,twinpeaks,1920,FALSE
/series/ficheserie_gen_cserie=537.html,tt0497156,rispolicescientifique,12683,FALSE
/series/ficheserie_gen_cserie=538.html,tt0477507,engrenages,11726,TRUE
/series/ficheserie_gen_cserie=539.html,tt0173536,la-crim,49875,FALSE
/series/ficheserie_gen_cserie=540.html,tt0309160,groupe-flag,83973,FALSE
