URL,IMDB_ID,BETASERIES_ID,THEMOVIEDB_ID,METACRITIC_ID,ROTTEN_TOMATOES_ID,IS_ACTIVE
/film/fichefilm_gen_cfilm=121.html,tt0082971,194-raiders-of-the-lost-ark,85,raiders-of-the-lost-ark,raiders_of_the_lost_ark,FALSE
/film/fichefilm_gen_cfilm=122.html,tt0163537,748-avoir-20-ans-dans-les-aures,31517,null,avoir_20_ans_dans_les_aures_2011,FALSE
/film/fichefilm_gen_cfilm=123.html,tt0048973,14074-baby-doll,40478,null,baby_doll,FALSE
/film/fichefilm_gen_cfilm=124.html,tt0089424,3101-kiss-of-the-spider-woman,11703,kiss-of-the-spider-woman,kiss_of_the_spider_woman,FALSE
/film/fichefilm_gen_cfilm=126.html,tt0085213,1566-le-bal,60612,null,le-bal-ballando-ballando,FALSE
/film/fichefilm_gen_cfilm=127.html,tt0061655,2357-the-fearless-vampire-killers,3053,the-fearless-vampire-killers,the_fearless_vampire_killers,FALSE
/film/fichefilm_gen_cfilm=128.html,tt0084390,20349-the-ballad-of-narayama,42113,null,the_ballad_of_narayama_1984,FALSE
/film/fichefilm_gen_cfilm=129.html,tt0077204,10693-lucky-luke-la-ballade-des-dalton,50166,null,lucky_luke_the_ballad_of_the_daltons,FALSE
/film/fichefilm_gen_cfilm=130.html,tt0052600,25472-ballad-of-a-soldier,46592,null,ballad_of_a_soldier,FALSE
/film/fichefilm_gen_cfilm=131.html,tt0048980,21448-le-ballon-rouge,15265,null,red_balloon,FALSE
/film/fichefilm_gen_cfilm=133.html,tt0044426,9335-blackbeard-the-pirate,120509,null,blackbeard_the_pirate,FALSE
/film/fichefilm_gen_cfilm=134.html,tt0058888,9116-red-beard,3780,red-beard,red_beard,FALSE
/film/fichefilm_gen_cfilm=135.html,tt0072684,244-barry-lyndon,3175,barry-lyndon,barry_lyndon,FALSE
/film/fichefilm_gen_cfilm=136.html,tt0050330,9217-the-lower-depths,26893,null,lower_depths,FALSE
/film/fichefilm_gen_cfilm=139.html,tt0048280,3730-lady-and-the-tramp,10340,lady-and-the-tramp,lady_and_the_tramp,FALSE
/film/fichefilm_gen_cfilm=140.html,tt0086969,3111-birdy,11296,null,birdy,FALSE
/film/fichefilm_gen_cfilm=141.html,tt0086994,24285-boy-meets-girl,63418,null,1032409-boy_meets_girl,FALSE
/film/fichefilm_gen_cfilm=142.html,tt0088846,3067-brazil,68,brazil,null,FALSE
/film/fichefilm_gen_cfilm=143.html,tt0087003,5480-broadway-danny-rose,12762,null,broadway_danny_rose,FALSE
/film/fichefilm_gen_cfilm=144.html,tt0083798,7078-dead-men-dont-wear-plaid,9442,dead-men-dont-wear-plaid,dead_men_dont_wear_plaid,FALSE
